classifier_name,dataset_name,accuracy
ISSD,MoCap/time2state,0.7354999999999999
ISSD,ActRecTut/time2state,0.7317
ISSD,PAMAP2/time2state,0.6149
ISSD,USC-HAD/time2state,0.7643000000000001
ISSD,SynSeg/time2state,0.8371
ISSD,MoCap/ticc,0.7696
ISSD,ActRecTut/ticc,0.8373999999999999
ISSD,PAMAP2/ticc,0.6031
ISSD,USC-HAD/ticc,0.8168000000000001
ISSD,SynSeg/ticc,0.5719
ISSD,MoCap/autoplait,0.7304
ISSD,ActRecTut/autoplait,0.5473
ISSD,PAMAP2/autoplait,0.35229999999999995
ISSD,USC-HAD/autoplait,0.7345999999999999
ISSD,SynSeg/autoplait,0.7514
ISSD,MoCap/e2usd,0.7278
ISSD,ActRecTut/e2usd,0.7531
ISSD,PAMAP2/e2usd,0.6177
ISSD,USC-HAD/e2usd,0.7916
ISSD,SynSeg/e2usd,0.8217
ISSD-QF,MoCap/time2state,0.7781
ISSD-QF,ActRecTut/time2state,0.7404000000000001
ISSD-QF,PAMAP2/time2state,0.6152000000000001
ISSD-QF,USC-HAD/time2state,0.7757
ISSD-QF,SynSeg/time2state,0.5713
ISSD-QF,MoCap/ticc,0.7637999999999999
ISSD-QF,ActRecTut/ticc,0.8432
ISSD-QF,PAMAP2/ticc,0.6031
ISSD-QF,USC-HAD/ticc,0.8168000000000001
ISSD-QF,SynSeg/ticc,0.3741
ISSD-QF,MoCap/autoplait,0.6914
ISSD-QF,ActRecTut/autoplait,0.5402
ISSD-QF,PAMAP2/autoplait,0.35229999999999995
ISSD-QF,USC-HAD/autoplait,0.7345999999999999
ISSD-QF,SynSeg/autoplait,0.5642
ISSD-QF,MoCap/e2usd,0.7441
ISSD-QF,ActRecTut/e2usd,0.7569
ISSD-QF,PAMAP2/e2usd,0.5985
ISSD-QF,USC-HAD/e2usd,0.799
ISSD-QF,SynSeg/e2usd,0.568
ISSD-CF,MoCap/time2state,0.7456999999999999
ISSD-CF,ActRecTut/time2state,0.7136
ISSD-CF,PAMAP2/time2state,0.5656
ISSD-CF,USC-HAD/time2state,0.7636
ISSD-CF,SynSeg/time2state,0.8186
ISSD-CF,MoCap/ticc,0.7839
ISSD-CF,ActRecTut/ticc,0.7953
ISSD-CF,PAMAP2/ticc,0.5835
ISSD-CF,USC-HAD/ticc,0.7923
ISSD-CF,SynSeg/ticc,0.5719
ISSD-CF,MoCap/autoplait,0.7333
ISSD-CF,ActRecTut/autoplait,0.5467
ISSD-CF,PAMAP2/autoplait,0.3166
ISSD-CF,USC-HAD/autoplait,0.7058
ISSD-CF,SynSeg/autoplait,0.7514
ISSD-CF,MoCap/e2usd,0.7537
ISSD-CF,ActRecTut/e2usd,0.72
ISSD-CF,PAMAP2/e2usd,0.5373
ISSD-CF,USC-HAD/e2usd,0.76
ISSD-CF,SynSeg/e2usd,0.7761
RAW,MoCap/time2state,0.7395999999999999
RAW,ActRecTut/time2state,0.7149
RAW,PAMAP2/time2state,0.5742
RAW,USC-HAD/time2state,0.7562000000000001
RAW,SynSeg/time2state,0.5988
RAW,MoCap/ticc,0.0
RAW,ActRecTut/ticc,0.0
RAW,PAMAP2/ticc,0.0
RAW,USC-HAD/ticc,0.0
RAW,SynSeg/ticc,0.0
RAW,MoCap/autoplait,0.0
RAW,ActRecTut/autoplait,0.0
RAW,PAMAP2/autoplait,0.0
RAW,USC-HAD/autoplait,0.0
RAW,SynSeg/autoplait,0.0
RAW,MoCap/e2usd,0.66
RAW,ActRecTut/e2usd,0.6295000000000001
RAW,PAMAP2/e2usd,0.5571
RAW,USC-HAD/e2usd,0.7938
RAW,SynSeg/e2usd,0.49579999999999996
PCA,MoCap/time2state,0.5387
PCA,ActRecTut/time2state,0.7249
PCA,PAMAP2/time2state,0.5172
PCA,USC-HAD/time2state,0.733
PCA,SynSeg/time2state,0.12269999999999999
PCA,MoCap/ticc,0.5475
PCA,ActRecTut/ticc,0.8382999999999999
PCA,PAMAP2/ticc,0.5992000000000001
PCA,USC-HAD/ticc,0.7793000000000001
PCA,SynSeg/ticc,0.0143
PCA,MoCap/autoplait,0.6009
PCA,ActRecTut/autoplait,0.5215
