+----------------------+-------+---------+---------+-------+-------+-------+-------+-------+-------+-------+
|   Dataset/DMethod    |  issd | issd-qf | issd-cf |  raw  |  pca  |  umap |  ecp  |  ecs  |  lda  |  sfm  |
+----------------------+-------+---------+---------+-------+-------+-------+-------+-------+-------+-------+
|   MoCap/time2state   | 73.55 |  77.81  |  74.57  | 73.96 | 53.87 | 53.03 | 60.15 | 48.93 | 65.88 | 72.60 |
| ActRecTut/time2state | 73.17 |  74.04  |  71.36  | 71.49 | 72.49 | 68.98 | 72.65 | 73.02 | 70.80 | 70.72 |
|  PAMAP2/time2state   | 61.49 |  61.52  |  56.56  | 57.42 | 51.72 | 51.85 | 58.86 | 52.40 | 60.28 | 55.51 |
|  USC-HAD/time2state  | 76.43 |  77.57  |  76.36  | 75.62 | 73.30 | 63.56 | 74.26 | 66.55 | 75.60 | 78.21 |
|  SynSeg/time2state   | 83.71 |  57.13  |  81.86  | 59.88 | 12.27 | 63.88 | 65.17 | 19.79 | 79.08 | 77.42 |
|      MoCap/ticc      | 76.96 |  76.38  |  78.39  |   x   | 54.75 | 37.83 | 57.31 | 49.00 | 58.14 | 63.38 |
|    ActRecTut/ticc    | 83.74 |  84.32  |  79.53  |   x   | 83.83 | 71.32 | 79.36 | 78.92 | 73.93 | 79.52 |
|     PAMAP2/ticc      | 60.31 |  60.31  |  58.35  |   x   | 59.92 | 61.98 | 62.18 | 62.60 | 70.54 | 55.81 |
|     USC-HAD/ticc     | 81.68 |  81.68  |  79.23  |   x   | 77.93 | 66.92 | 78.18 | 68.93 | 80.43 | 81.68 |
|     SynSeg/ticc      | 57.19 |  37.41  |  57.19  |   x   |  1.43 | 63.02 | 41.74 |  1.43 | 43.10 | 41.92 |
|   MoCap/autoplait    | 73.04 |  69.14  |  73.33  |   x   | 60.09 | 60.87 | 60.58 | 53.80 | 54.25 | 61.40 |
| ActRecTut/autoplait  | 54.73 |  54.02  |  54.67  |   x   | 52.15 | 22.42 | 61.86 | 50.32 | 54.60 | 28.65 |
|   PAMAP2/autoplait   | 35.23 |  35.23  |  31.66  |   x   | 56.67 | 39.91 | 63.28 | 62.86 | 60.95 | 56.03 |
|  USC-HAD/autoplait   | 73.46 |  73.46  |  70.58  |   x   | 70.24 | 64.16 | 73.31 | 49.57 | 79.43 | 79.88 |
|   SynSeg/autoplait   | 75.14 |  56.42  |  75.14  |   x   |  0.00 | 51.41 | 66.51 |  0.00 | 75.04 | 75.11 |
|     MoCap/e2usd      | 72.78 |  74.41  |  75.37  | 66.00 | 55.69 | 52.79 | 56.51 | 48.61 | 64.88 | 62.69 |
|   ActRecTut/e2usd    | 75.31 |  75.69  |  72.00  | 62.95 | 71.15 | 64.48 | 67.68 | 72.23 | 66.42 | 67.32 |
|     PAMAP2/e2usd     | 61.77 |  59.85  |  53.73  | 55.71 | 51.70 | 47.99 | 59.86 | 49.78 | 57.58 | 58.47 |
|    USC-HAD/e2usd     | 79.16 |  79.90  |  76.00  | 79.38 | 74.61 | 69.40 | 74.75 | 69.20 | 77.72 | 80.19 |
|     SynSeg/e2usd     | 82.17 |  56.80  |  77.61  | 49.58 |  7.88 | 63.60 | 60.31 | 10.20 | 70.39 | 77.07 |
+----------------------+-------+---------+---------+-------+-------+-------+-------+-------+-------+-------+
