classifier_name,dataset_name,accuracy
ISSD,MoCap/time2state,0.7356999999999999
ISSD,ActRecTut/time2state,0.7318000000000001
ISSD,PAMAP2/time2state,0.6151
ISSD,USC-HAD/time2state,0.7646
ISSD,SynSeg/time2state,0.8373
ISSD,MoCap/ticc,0.7698999999999999
ISSD,ActRecTut/ticc,0.8373999999999999
ISSD,PAMAP2/ticc,0.6033
ISSD,USC-HAD/ticc,0.8170999999999999
ISSD,SynSeg/ticc,0.5725
ISSD,MoCap/autoplait,0.7304999999999999
ISSD,ActRecTut/autoplait,0.5473
ISSD,PAMAP2/autoplait,0.35229999999999995
ISSD,USC-HAD/autoplait,0.7347
ISSD,SynSeg/autoplait,0.7515000000000001
ISSD,MoCap/e2usd,0.7282
ISSD,ActRecTut/e2usd,0.7532
ISSD,PAMAP2/e2usd,0.6179
ISSD,USC-HAD/e2usd,0.7918999999999999
ISSD,SynSeg/e2usd,0.8219
ISSD-QF,MoCap/time2state,0.7783
ISSD-QF,ActRecTut/time2state,0.7404999999999999
ISSD-QF,PAMAP2/time2state,0.6154
ISSD-QF,USC-HAD/time2state,0.7759
ISSD-QF,SynSeg/time2state,0.5716
ISSD-QF,MoCap/ticc,0.764
ISSD-QF,ActRecTut/ticc,0.8432
ISSD-QF,PAMAP2/ticc,0.6033
ISSD-QF,USC-HAD/ticc,0.8170999999999999
ISSD-QF,SynSeg/ticc,0.3749
ISSD-QF,MoCap/autoplait,0.6915
ISSD-QF,ActRecTut/autoplait,0.5402
ISSD-QF,PAMAP2/autoplait,0.35229999999999995
ISSD-QF,USC-HAD/autoplait,0.7347
ISSD-QF,SynSeg/autoplait,0.5644
ISSD-QF,MoCap/e2usd,0.7444
ISSD-QF,ActRecTut/e2usd,0.757
ISSD-QF,PAMAP2/e2usd,0.5987
ISSD-QF,USC-HAD/e2usd,0.7993000000000001
ISSD-QF,SynSeg/e2usd,0.5685
ISSD-CF,MoCap/time2state,0.746
ISSD-CF,ActRecTut/time2state,0.7137
ISSD-CF,PAMAP2/time2state,0.5658
ISSD-CF,USC-HAD/time2state,0.7637999999999999
ISSD-CF,SynSeg/time2state,0.8188
ISSD-CF,MoCap/ticc,0.7841
ISSD-CF,ActRecTut/ticc,0.7954000000000001
ISSD-CF,PAMAP2/ticc,0.5837
ISSD-CF,USC-HAD/ticc,0.7926000000000001
ISSD-CF,SynSeg/ticc,0.5725
ISSD-CF,MoCap/autoplait,0.7334999999999999
ISSD-CF,ActRecTut/autoplait,0.5468
ISSD-CF,PAMAP2/autoplait,0.3166
ISSD-CF,USC-HAD/autoplait,0.706
ISSD-CF,SynSeg/autoplait,0.7515000000000001
ISSD-CF,MoCap/e2usd,0.754
ISSD-CF,ActRecTut/e2usd,0.7201000000000001
ISSD-CF,PAMAP2/e2usd,0.5375
ISSD-CF,USC-HAD/e2usd,0.7603
ISSD-CF,SynSeg/e2usd,0.7763
RAW,MoCap/time2state,0.7399
RAW,ActRecTut/time2state,0.715
RAW,PAMAP2/time2state,0.5744
RAW,USC-HAD/time2state,0.7565000000000001
RAW,SynSeg/time2state,0.5991
RAW,MoCap/ticc,0.0
RAW,ActRecTut/ticc,0.0
RAW,PAMAP2/ticc,0.0
RAW,USC-HAD/ticc,0.0
RAW,SynSeg/ticc,0.0
RAW,MoCap/autoplait,0.0
RAW,ActRecTut/autoplait,0.0
RAW,PAMAP2/autoplait,0.0
RAW,USC-HAD/autoplait,0.0
RAW,SynSeg/autoplait,0.0
RAW,MoCap/e2usd,0.6605
RAW,ActRecTut/e2usd,0.6297
RAW,PAMAP2/e2usd,0.5573
RAW,USC-HAD/e2usd,0.7940999999999999
RAW,SynSeg/e2usd,0.4963
PCA,MoCap/time2state,0.5393
PCA,ActRecTut/time2state,0.725
PCA,PAMAP2/time2state,0.5174
PCA,USC-HAD/time2state,0.7334
PCA,SynSeg/time2state,0.1231
PCA,MoCap/ticc,0.5478999999999999
PCA,ActRecTut/ticc,0.8384
PCA,PAMAP2/ticc,0.5993999999999999
PCA,USC-HAD/ticc,0.7796
PCA,SynSeg/ticc,0.016
PCA,MoCap/autoplait,0.6015999999999999
PCA,ActRecTut/autoplait,0.5216
PCA,PAMAP2/autoplait,0.5668
PCA,USC-HAD/autoplait,0.7025
PCA,SynSeg/autoplait,0.0
PCA,MoCap/e2usd,0.5576
PCA,ActRecTut/e2usd,0.7116
PCA,PAMAP2/e2usd,0.5173
PCA,USC-HAD/e2usd,0.7464
PCA,SynSeg/e2usd,0.0794
UMAP,MoCap/time2state,0.5309
UMAP,ActRecTut/time2state,0.69
UMAP,PAMAP2/time2state,0.5188
UMAP,USC-HAD/time2state,0.6359
UMAP,SynSeg/time2state,0.639
UMAP,MoCap/ticc,0.3791
UMAP,ActRecTut/ticc,0.7132
UMAP,PAMAP2/ticc,0.62
UMAP,USC-HAD/ticc,0.6698000000000001
UMAP,SynSeg/ticc,0.6306
UMAP,MoCap/autoplait,0.6096
UMAP,ActRecTut/autoplait,0.2242
UMAP,PAMAP2/autoplait,0.3992
UMAP,USC-HAD/autoplait,0.6418
UMAP,SynSeg/autoplait,0.5142
UMAP,MoCap/e2usd,0.5286
UMAP,ActRecTut/e2usd,0.645
UMAP,PAMAP2/e2usd,0.4802
UMAP,USC-HAD/e2usd,0.6943
UMAP,SynSeg/e2usd,0.6363
ECP,MoCap/time2state,0.602
ECP,ActRecTut/time2state,0.7267
ECP,PAMAP2/time2state,0.5888
ECP,USC-HAD/time2state,0.7429000000000001
ECP,SynSeg/time2state,0.6520999999999999
ECP,MoCap/ticc,0.5735
ECP,ActRecTut/ticc,0.7936
ECP,PAMAP2/ticc,0.622
ECP,USC-HAD/ticc,0.7820999999999999
ECP,SynSeg/ticc,0.4181
ECP,MoCap/autoplait,0.6064
ECP,ActRecTut/autoplait,0.6187
ECP,PAMAP2/autoplait,0.6329
ECP,USC-HAD/autoplait,0.7333
ECP,SynSeg/autoplait,0.6653
ECP,MoCap/e2usd,0.5657
ECP,ActRecTut/e2usd,0.677
ECP,PAMAP2/e2usd,0.5988
ECP,USC-HAD/e2usd,0.7478
ECP,SynSeg/e2usd,0.6036
ECS,MoCap/time2state,0.4899
ECS,ActRecTut/time2state,0.7304
ECS,PAMAP2/time2state,0.5242
ECS,USC-HAD/time2state,0.6659
ECS,SynSeg/time2state,0.1986
ECS,MoCap/ticc,0.4905
ECS,ActRecTut/ticc,0.7892
ECS,PAMAP2/ticc,0.6261
ECS,USC-HAD/ticc,0.6899
ECS,SynSeg/ticc,0.016
ECS,MoCap/autoplait,0.5387
ECS,ActRecTut/autoplait,0.5033
ECS,PAMAP2/autoplait,0.6286999999999999
ECS,USC-HAD/autoplait,0.49579999999999996
ECS,SynSeg/autoplait,0.0
ECS,MoCap/e2usd,0.4868
ECS,ActRecTut/e2usd,0.7223999999999999
ECS,PAMAP2/e2usd,0.49810000000000004
ECS,USC-HAD/e2usd,0.6923999999999999
ECS,SynSeg/e2usd,0.1026
LDA,MoCap/time2state,0.6592
LDA,ActRecTut/time2state,0.7081000000000001
LDA,PAMAP2/time2state,0.603
LDA,USC-HAD/time2state,0.7562000000000001
LDA,SynSeg/time2state,0.7909
LDA,MoCap/ticc,0.5817
LDA,ActRecTut/ticc,0.7394
LDA,PAMAP2/ticc,0.7056
LDA,USC-HAD/ticc,0.8046
LDA,SynSeg/ticc,0.4318
LDA,MoCap/autoplait,0.5428000000000001
LDA,ActRecTut/autoplait,0.5461
LDA,PAMAP2/autoplait,0.6096
LDA,USC-HAD/autoplait,0.7945
LDA,SynSeg/autoplait,0.7505
LDA,MoCap/e2usd,0.6493000000000001
LDA,ActRecTut/e2usd,0.6644
LDA,PAMAP2/e2usd,0.5760000000000001
LDA,USC-HAD/e2usd,0.7775
LDA,SynSeg/e2usd,0.7042
SFM,MoCap/time2state,0.7263
SFM,ActRecTut/time2state,0.7073
SFM,PAMAP2/time2state,0.5552
SFM,USC-HAD/time2state,0.7824
SFM,SynSeg/time2state,0.7743000000000001
SFM,MoCap/ticc,0.6341
SFM,ActRecTut/ticc,0.7951999999999999
SFM,PAMAP2/ticc,0.5583
SFM,USC-HAD/ticc,0.8170999999999999
SFM,SynSeg/ticc,0.4199
SFM,MoCap/autoplait,0.6143
SFM,ActRecTut/autoplait,0.2866
SFM,PAMAP2/autoplait,0.5604
SFM,USC-HAD/autoplait,0.799
SFM,SynSeg/autoplait,0.7512000000000001
SFM,MoCap/e2usd,0.6274000000000001
SFM,ActRecTut/e2usd,0.6734
SFM,PAMAP2/e2usd,0.5848
SFM,USC-HAD/e2usd,0.8020999999999999
SFM,SynSeg/e2usd,0.7709
