+----------------------+-------+---------+---------+-------+-------+-------+-------+-------+-------+-------+
|   Dataset/DMethod    |  issd | issd-qf | issd-cf |  raw  |  pca  |  umap |  ecp  |  ecs  |  lda  |  sfm  |
+----------------------+-------+---------+---------+-------+-------+-------+-------+-------+-------+-------+
|   MoCap/time2state   | 73.57 |  77.83  |  74.60  | 73.99 | 53.93 | 53.09 | 60.20 | 48.99 | 65.92 | 72.63 |
| ActRecTut/time2state | 73.18 |  74.05  |  71.37  | 71.50 | 72.50 | 69.00 | 72.67 | 73.04 | 70.81 | 70.73 |
|  PAMAP2/time2state   | 61.51 |  61.54  |  56.58  | 57.44 | 51.74 | 51.88 | 58.88 | 52.42 | 60.30 | 55.52 |
|  USC-HAD/time2state  | 76.46 |  77.59  |  76.38  | 75.65 | 73.34 | 63.59 | 74.29 | 66.59 | 75.62 | 78.24 |
|  SynSeg/time2state   | 83.73 |  57.16  |  81.88  | 59.91 | 12.31 | 63.90 | 65.21 | 19.86 | 79.09 | 77.43 |
|      MoCap/ticc      | 76.99 |  76.40  |  78.41  |   x   | 54.79 | 37.91 | 57.35 | 49.05 | 58.17 | 63.41 |
|    ActRecTut/ticc    | 83.74 |  84.32  |  79.54  |   x   | 83.84 | 71.32 | 79.36 | 78.92 | 73.94 | 79.52 |
|     PAMAP2/ticc      | 60.33 |  60.33  |  58.37  |   x   | 59.94 | 62.00 | 62.20 | 62.61 | 70.56 | 55.83 |
|     USC-HAD/ticc     | 81.71 |  81.71  |  79.26  |   x   | 77.96 | 66.98 | 78.21 | 68.99 | 80.46 | 81.71 |
|     SynSeg/ticc      | 57.25 |  37.49  |  57.25  |   x   |  1.60 | 63.06 | 41.81 |  1.60 | 43.18 | 41.99 |
|   MoCap/autoplait    | 73.05 |  69.15  |  73.35  |   x   | 60.16 | 60.96 | 60.64 | 53.87 | 54.28 | 61.43 |
| ActRecTut/autoplait  | 54.73 |  54.02  |  54.68  |   x   | 52.16 | 22.42 | 61.87 | 50.33 | 54.61 | 28.66 |
|   PAMAP2/autoplait   | 35.23 |  35.23  |  31.66  |   x   | 56.68 | 39.92 | 63.29 | 62.87 | 60.96 | 56.04 |
|  USC-HAD/autoplait   | 73.47 |  73.47  |  70.60  |   x   | 70.25 | 64.18 | 73.33 | 49.58 | 79.45 | 79.90 |
|   SynSeg/autoplait   | 75.15 |  56.44  |  75.15  |   x   |  0.00 | 51.42 | 66.53 |  0.00 | 75.05 | 75.12 |
|     MoCap/e2usd      | 72.82 |  74.44  |  75.40  | 66.05 | 55.76 | 52.86 | 56.57 | 48.68 | 64.93 | 62.74 |
|   ActRecTut/e2usd    | 75.32 |  75.70  |  72.01  | 62.97 | 71.16 | 64.50 | 67.70 | 72.24 | 66.44 | 67.34 |
|     PAMAP2/e2usd     | 61.79 |  59.87  |  53.75  | 55.73 | 51.73 | 48.02 | 59.88 | 49.81 | 57.60 | 58.48 |
|    USC-HAD/e2usd     | 79.19 |  79.93  |  76.03  | 79.41 | 74.64 | 69.43 | 74.78 | 69.24 | 77.75 | 80.21 |
|     SynSeg/e2usd     | 82.19 |  56.85  |  77.63  | 49.63 |  7.94 | 63.63 | 60.36 | 10.26 | 70.42 | 77.09 |
+----------------------+-------+---------+---------+-------+-------+-------+-------+-------+-------+-------+
