classifier_name,dataset_name,accuracy
ISSD,MoCap/time2state,0.8986
ISSD,ActRecTut/time2state,0.8654999999999999
ISSD,PAMAP2/time2state,0.7415999999999999
ISSD,USC-HAD/time2state,0.9134
ISSD,SynSeg/time2state,0.8523000000000001
ISSD,MoCap/ticc,0.9636
ISSD,ActRecTut/ticc,0.9501000000000001
ISSD,PAMAP2/ticc,0.7595999999999999
ISSD,USC-HAD/ticc,0.9555
ISSD,SynSeg/ticc,0.9875
ISSD,MoCap/autoplait,0.9467
ISSD,ActRecTut/autoplait,0.9209999999999999
ISSD,PAMAP2/autoplait,0.9053
ISSD,USC-HAD/autoplait,0.9851000000000001
ISSD,SynSeg/autoplait,0.9587
ISSD,MoCap/e2usd,0.8536
ISSD,ActRecTut/e2usd,0.8933
ISSD,PAMAP2/e2usd,0.695
ISSD,USC-HAD/e2usd,0.8946999999999999
ISSD,SynSeg/e2usd,0.8734000000000001
ISSD-QF,MoCap/time2state,0.9077
ISSD-QF,ActRecTut/time2state,0.8809
ISSD-QF,PAMAP2/time2state,0.7376999999999999
ISSD-QF,USC-HAD/time2state,0.919
ISSD-QF,SynSeg/time2state,0.5899
ISSD-QF,MoCap/ticc,0.9570000000000001
ISSD-QF,ActRecTut/ticc,0.9592
ISSD-QF,PAMAP2/ticc,0.7595999999999999
ISSD-QF,USC-HAD/ticc,0.9555
ISSD-QF,SynSeg/ticc,0.9405
ISSD-QF,MoCap/autoplait,0.9242
ISSD-QF,ActRecTut/autoplait,0.9208
ISSD-QF,PAMAP2/autoplait,0.9053
ISSD-QF,USC-HAD/autoplait,0.9851000000000001
ISSD-QF,SynSeg/autoplait,0.8094
ISSD-QF,MoCap/e2usd,0.8392000000000001
ISSD-QF,ActRecTut/e2usd,0.8985
ISSD-QF,PAMAP2/e2usd,0.6867
ISSD-QF,USC-HAD/e2usd,0.902
ISSD-QF,SynSeg/e2usd,0.5884
ISSD-CF,MoCap/time2state,0.8567
ISSD-CF,ActRecTut/time2state,0.8395999999999999
ISSD-CF,PAMAP2/time2state,0.6462
ISSD-CF,USC-HAD/time2state,0.9257
ISSD-CF,SynSeg/time2state,0.8534
ISSD-CF,MoCap/ticc,0.9558
ISSD-CF,ActRecTut/ticc,0.8804000000000001
ISSD-CF,PAMAP2/ticc,0.7373000000000001
ISSD-CF,USC-HAD/ticc,0.96
ISSD-CF,SynSeg/ticc,0.9875
ISSD-CF,MoCap/autoplait,0.8668
ISSD-CF,ActRecTut/autoplait,0.92
ISSD-CF,PAMAP2/autoplait,0.9412999999999999
ISSD-CF,USC-HAD/autoplait,0.9814
ISSD-CF,SynSeg/autoplait,0.9587
ISSD-CF,MoCap/e2usd,0.81
ISSD-CF,ActRecTut/e2usd,0.8423999999999999
ISSD-CF,PAMAP2/e2usd,0.5766
ISSD-CF,USC-HAD/e2usd,0.9070999999999999
ISSD-CF,SynSeg/e2usd,0.8466
RAW,MoCap/time2state,0.8043
RAW,ActRecTut/time2state,0.8437
RAW,PAMAP2/time2state,0.5821000000000001
RAW,USC-HAD/time2state,0.9223
RAW,SynSeg/time2state,0.7003
RAW,MoCap/ticc,0.0
RAW,ActRecTut/ticc,0.0
RAW,PAMAP2/ticc,0.0
RAW,USC-HAD/ticc,0.0
RAW,SynSeg/ticc,0.0
RAW,MoCap/autoplait,0.0
RAW,ActRecTut/autoplait,0.0
RAW,PAMAP2/autoplait,0.0
RAW,USC-HAD/autoplait,0.0
RAW,SynSeg/autoplait,0.0
RAW,MoCap/e2usd,0.6690999999999999
RAW,ActRecTut/e2usd,0.7164
RAW,PAMAP2/e2usd,0.5427000000000001
RAW,USC-HAD/e2usd,0.8859
RAW,SynSeg/e2usd,0.5745
PCA,MoCap/time2state,0.607
PCA,ActRecTut/time2state,0.8275
PCA,PAMAP2/time2state,0.5146999999999999
PCA,USC-HAD/time2state,0.9127
PCA,SynSeg/time2state,0.696
PCA,MoCap/ticc,0.7513
PCA,ActRecTut/ticc,0.9582999999999999
PCA,PAMAP2/ticc,0.7004
PCA,USC-HAD/ticc,0.9608
