+----------------------+-------+---------+---------+-------+--------+-------+-------+--------+-------+-------+
|   Dataset/DMethod    |  issd | issd-qf | issd-cf |  raw  |  pca   |  umap |  ecp  |  ecs   |  lda  |  sfm  |
+----------------------+-------+---------+---------+-------+--------+-------+-------+--------+-------+-------+
|   MoCap/time2state   | 89.86 |  90.77  |  85.67  | 80.43 | 60.70  | 57.58 | 63.32 | 60.22  | 76.75 | 78.81 |
| ActRecTut/time2state | 86.55 |  88.09  |  83.96  | 84.37 | 82.75  | 71.32 | 82.08 | 81.93  | 83.28 | 84.73 |
|  PAMAP2/time2state   | 74.16 |  73.77  |  64.62  | 58.21 | 51.47  | 49.58 | 63.90 | 51.69  | 63.35 | 65.41 |
|  USC-HAD/time2state  | 91.34 |  91.90  |  92.57  | 92.23 | 91.27  | 92.74 | 92.51 | 89.13  | 92.35 | 93.01 |
|  SynSeg/time2state   | 85.23 |  58.99  |  85.34  | 70.03 | 69.60  | 81.92 | 59.68 | 61.93  | 87.57 | 85.43 |
|      MoCap/ticc      | 96.36 |  95.70  |  95.58  |   x   | 75.13  | 76.91 | 76.96 | 72.85  | 77.85 | 85.32 |
|    ActRecTut/ticc    | 95.01 |  95.92  |  88.04  |   x   | 95.83  | 80.95 | 87.40 | 88.45  | 83.56 | 91.15 |
|     PAMAP2/ticc      | 75.96 |  75.96  |  73.73  |   x   | 70.04  | 66.44 | 70.35 | 69.63  | 71.39 | 67.13 |
|     USC-HAD/ticc     | 95.55 |  95.55  |  96.00  |   x   | 96.08  | 95.04 | 95.70 | 96.34  | 96.40 | 95.55 |
|     SynSeg/ticc      | 98.75 |  94.05  |  98.75  |   x   | 99.20  | 87.41 | 90.47 | 99.20  | 98.83 | 99.22 |
|   MoCap/autoplait    | 94.67 |  92.42  |  86.68  |   x   | 52.11  | 41.91 | 52.25 | 52.82  | 74.56 | 72.71 |
| ActRecTut/autoplait  | 92.10 |  92.08  |  92.00  |   x   | 80.32  | 88.93 | 71.45 | 86.91  | 74.50 | 98.78 |
|   PAMAP2/autoplait   | 90.53 |  90.53  |  94.13  |   x   | 77.92  | 83.60 | 65.62 | 74.74  | 74.30 | 63.97 |
|  USC-HAD/autoplait   | 98.51 |  98.51  |  98.14  |   x   | 99.37  | 99.22 | 98.85 | 99.79  | 98.66 | 98.14 |
|   SynSeg/autoplait   | 95.87 |  80.94  |  95.87  |   x   | 100.00 | 92.51 | 75.89 | 100.00 | 96.78 | 99.74 |
|     MoCap/e2usd      | 85.36 |  83.92  |  81.00  | 66.91 | 55.20  | 49.55 | 60.87 | 56.60  | 75.72 | 67.71 |
|   ActRecTut/e2usd    | 89.33 |  89.85  |  84.24  | 71.64 | 81.48  | 67.10 | 76.42 | 77.56  | 75.51 | 77.46 |
|     PAMAP2/e2usd     | 69.50 |  68.67  |  57.66  | 54.27 | 46.59  | 42.99 | 57.32 | 45.44  | 54.91 | 62.76 |
|    USC-HAD/e2usd     | 89.47 |  90.20  |  90.71  | 88.59 | 89.25  | 86.90 | 88.87 | 87.51  | 89.02 | 90.02 |
|     SynSeg/e2usd     | 87.34 |  58.84  |  84.66  | 57.45 | 76.97  | 73.53 | 56.34 | 74.85  | 72.76 | 86.53 |
+----------------------+-------+---------+---------+-------+--------+-------+-------+--------+-------+-------+
